Class_Index,precision,recall,f1-score,support
29,0.35294117647058826,0.3333333333333333,0.34285714285714286,36.0
79,0.3333333333333333,0.34375,0.3384615384615385,32.0
36,0.2545454545454545,0.5,0.3373493975903614,28.0
91,0.29508196721311475,0.3673469387755102,0.32727272727272727,49.0
76,0.375,0.27906976744186046,0.32,43.0
39,0.875,0.1891891891891892,0.3111111111111111,37.0
44,0.4666666666666667,0.22580645161290322,0.30434782608695654,31.0
22,0.275,0.3055555555555556,0.2894736842105263,36.0
23,0.35294117647058826,0.24489795918367346,0.2891566265060241,49.0
24,0.28125,0.2727272727272727,0.27692307692307694,33.0
13,0.32,0.24242424242424243,0.27586206896551724,33.0
51,0.34782608695652173,0.21621621621621623,0.26666666666666666,37.0
7,0.24390243902439024,0.2857142857142857,0.2631578947368421,35.0
52,0.24324324324324326,0.2727272727272727,0.2571428571428571,33.0
68,0.3333333333333333,0.2,0.25,35.0
98,0.23684210526315788,0.2571428571428571,0.2465753424657534,35.0
59,0.20689655172413793,0.2926829268292683,0.24242424242424243,41.0
74,0.2727272727272727,0.17647058823529413,0.21428571428571427,34.0
0,0.1509433962264151,0.36363636363636365,0.21333333333333335,44.0
32,0.2413793103448276,0.1794871794871795,0.20588235294117646,39.0
97,0.35714285714285715,0.1388888888888889,0.2,36.0
75,0.24,0.16666666666666666,0.19672131147540983,36.0
2,0.12903225806451613,0.2926829268292683,0.1791044776119403,41.0
60,0.21875,0.14285714285714285,0.1728395061728395,49.0
66,0.12307692307692308,0.2857142857142857,0.17204301075268819,28.0
19,0.20833333333333334,0.1388888888888889,0.16666666666666666,36.0
64,0.175,0.1590909090909091,0.16666666666666666,44.0
90,0.12244897959183673,0.21428571428571427,0.15584415584415584,28.0
69,0.25,0.10714285714285714,0.15,28.0
89,0.25,0.10256410256410256,0.14545454545454545,39.0
58,0.1044776119402985,0.1590909090909091,0.12612612612612611,44.0
34,0.09523809523809523,0.18181818181818182,0.125,33.0
33,0.15789473684210525,0.09090909090909091,0.11538461538461539,33.0
17,0.12121212121212122,0.10810810810810811,0.11428571428571428,37.0
47,0.2,0.07894736842105263,0.11320754716981132,38.0
3,0.05714285714285714,0.05714285714285714,0.05714285714285714,35.0
38,0.05,0.04878048780487805,0.04938271604938271,41.0
65,0.08333333333333333,0.03225806451612903,0.046511627906976744,31.0
100,0.07142857142857142,0.027777777777777776,0.04,36.0
9,0.05555555555555555,0.020833333333333332,0.030303030303030304,48.0
45,0.0,0.0,0.0,40.0
1,0.0,0.0,0.0,32.0
55,0.0,0.0,0.0,35.0
57,0.0,0.0,0.0,33.0
16,0.0,0.0,0.0,49.0
14,0.0,0.0,0.0,30.0
12,0.0,0.0,0.0,38.0
77,0.0,0.0,0.0,43.0
62,0.0,0.0,0.0,43.0
71,0.0,0.0,0.0,30.0
37,0.0,0.0,0.0,34.0
